{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 3.41407088162000*10^-01,  -1.48831622931000*10^-01,   9.28057297891000*10^-01} 
{-1.45359352910000*10^-01,   1.99425187218000*10^-01,  -9.69071851425000*10^-01} 
{-6.61587496628000*10^-01,   6.58112409599000*10^-01,   3.59430161000000*10^-01} 
{ 1.59293320417000*10^-01,  -1.16733087710000*10^-02,  -9.87162282471000*10^-01} 
{-7.89366750107000*10^-01,   5.79204568083000*10^-01,   2.03524450956000*10^-01} 
{ 9.33565422958000*10^-01,   2.25845499641000*10^-01,  -2.78297343411000*10^-01} 
{-9.55636706575000*10^-01,   1.85058527898000*10^-01,   2.29154590396000*10^-01} 
{ 1.00294304620000*10^-02,   9.20715751947000*10^-01,   3.90105004635000*10^-01} 
{ 6.67614391033000*10^-01,   7.34662942238000*10^-01,   1.20670568856000*10^-01} 
{ 2.16280917495000*10^-01,   1.34915052600000*10^-02,   9.76237954606000*10^-01} 
{-1.78867317223000*10^-01,  -9.79628793127000*10^-01,   9.12902541690000*10^-02} 
{-1.76305504879000*10^-01,   9.35413171722000*10^-01,   3.06461363173000*10^-01} 
{ 1.23683136019000*10^-01,   5.28173922200000*10^-01,   8.40080228176000*10^-01} 
{-1.90552685190000*10^-01,  -3.54067728636000*10^-01,   9.15601287519000*10^-01} 
{-8.61182070190000*10^-02,  -5.23488546113000*10^-01,   8.47669391041000*10^-01} 
{-5.59837376035000*10^-01,  -4.04719001256000*10^-01,  -7.23038479209000*10^-01} 
{-7.44021337056000*10^-01,  -5.63943401425000*10^-01,  -3.58329582917000*10^-01} 
{-5.18096194960000*10^-01,   8.48080942498000*10^-01,   1.11063260080000*10^-01} 
{ 6.84251570008000*10^-01,  -4.33423565426000*10^-01,   5.86467221484000*10^-01} 
{-9.73548959294000*10^-01,  -9.72023415700000*10^-03,   2.28271638419000*10^-01} 
{-3.40093486416000*10^-01,   8.44050737137000*10^-01,   4.14626064830000*10^-01} 
{-3.34409763580000*10^-01,  -8.59888509222000*10^-01,   3.85696592843000*10^-01} 
{-2.07305811121000*10^-01,  -6.43725831968000*10^-01,   7.36641944185000*10^-01} 
{-3.92098704097000*10^-01,  -3.13427937770000*10^-01,   8.64882381640000*10^-01} 
{-8.05691026256000*10^-01,  -5.89865366160000*10^-01,   5.40446113570000*10^-02} 
{-2.94010507634000*10^-01,  -6.36359867396000*10^-01,  -7.13164735926000*10^-01} 
{ 3.42096719622000*10^-01,  -4.76873368191000*10^-01,   8.09667601633000*10^-01} 
{-1.25923498258000*10^-01,   2.15443403560000*10^-01,   9.68363264715000*10^-01} 
{-7.97855153083000*10^-01,  -1.66322236816000*10^-01,  -5.79451523633000*10^-01} 
{-5.97471078770000*10^-02,   9.96584050618000*10^-01,  -5.70132717410000*10^-02} 
{ 9.40469532330000*10^-01,   3.22165735993000*10^-01,  -1.08288029401000*10^-01} 
{ 9.54591586305000*10^-01,  -2.50701776190000*10^-02,  -2.96860892590000*10^-01} 
{ 6.56556147724000*10^-01,  -7.33535121395000*10^-01,  -1.75670858613000*10^-01} 
{ 5.35320282008000*10^-01,  -1.15815374052000*10^-01,   8.36671378024000*10^-01} 
{-8.84208123437000*10^-01,   4.01189095206000*10^-01,   2.39213930064000*10^-01} 
{ 8.88746961748000*10^-01,  -1.87001162353000*10^-01,   4.18520493242000*10^-01} 
{-8.50781317599000*10^-01,   4.99307392979000*10^-01,  -1.63900204213000*10^-01} 
{ 2.48766652136000*10^-01,  -1.90747843029000*10^-01,  -9.49594867912000*10^-01} 
{ 4.24972662379000*10^-01,   9.04854332883000*10^-01,  -2.52363327940000*10^-02} 
{-1.76504572279000*10^-01,  -1.55814788049000*10^-01,  -9.71888824810000*10^-01} 
{ 8.27552980959000*10^-01,  -3.89882299540000*10^-02,   5.60032125534000*10^-01} 
{-4.54160127431000*10^-01,   7.92491888754000*10^-01,  -4.07056734264000*10^-01} 
{-2.83604510485000*10^-01,  -3.15834243047000*10^-01,  -9.05437580704000*10^-01} 
{-9.40900567240000*10^-01,   3.18072887106000*10^-01,  -1.16343289689000*10^-01} 
{ 6.53182172460000*10^-02,  -8.33180216176000*10^-01,   5.49130456147000*10^-01} 
{ 1.50606354854000*10^-01,   3.48226556431000*10^-01,   9.25232938926000*10^-01} 
{-3.55223980013000*10^-01,   4.75202259002000*10^-01,  -8.04983687452000*10^-01} 
{ 2.42505908020000*10^-01,   7.02505580367000*10^-01,  -6.69086537100000*10^-01} 
{-3.03000538658000*10^-01,  -8.47609785623000*10^-01,  -4.35601107539000*10^-01} 
{-7.27089542380000*10^-02,   5.80169623294000*10^-01,   8.11243869734000*10^-01} 
{-5.89261933787000*10^-01,  -5.77307794289000*10^-01,   5.65231000603000*10^-01} 
{-7.42160967490000*10^-01,   3.68787071303000*10^-01,   5.59636662822000*10^-01} 
{-9.87247148350000*10^-02,  -7.68677988640000*10^-01,   6.31971186417000*10^-01} 
{ 6.55646352400000*10^-02,   8.10536979724000*10^-01,  -5.82006085110000*10^-01} 
{-6.58760863445000*10^-01,  -5.17988102099000*10^-01,  -5.45639488012000*10^-01} 
{-1.13752344570000*10^-02,   3.42693763919000*10^-01,  -9.39378298777000*10^-01} 
{ 9.31959976029000*10^-01,   2.57445020304000*10^-01,   2.55289374243000*10^-01} 
{ 3.22585083164000*10^-01,   4.10610784340000*10^-01,   8.52840927667000*10^-01} 
{ 7.42029976285000*10^-01,   1.26323718124000*10^-01,   6.58356918802000*10^-01} 
{-5.84170633515000*10^-01,   4.24765067846000*10^-01,   6.91606324491000*10^-01} 
{ 1.87638888040000*10^-02,  -3.48910522267000*10^-01,   9.36968176582000*10^-01} 
{ 1.19779325172000*10^-01,  -4.98794512110000*10^-01,   8.58403720839000*10^-01} 
{-4.90464936566000*10^-01,  -5.81146931130000*10^-01,  -6.49393863874000*10^-01} 
{ 1.58463627698000*10^-01,   9.52377017293000*10^-01,   2.60513522930000*10^-01} 
{-1.99689073724000*10^-01,   3.10927131670000*10^-02,   9.79365874953000*10^-01} 
{-7.72638068576000*10^-01,   1.78695086418000*10^-01,  -6.09178529724000*10^-01} 
{ 8.15492130893000*10^-01,  -3.81014676433000*10^-01,   4.35660878201000*10^-01} 
{ 1.29577263117000*10^-01,  -3.63183707750000*10^-01,  -9.22663171102000*10^-01} 
{-5.81861869811000*10^-01,   7.73540393974000*10^-01,  -2.51141440926000*10^-01} 
{ 5.90529552417000*10^-01,   6.48803028343000*10^-01,   4.79926534102000*10^-01} 
{-4.04944542291000*10^-01,  -7.29087959123000*10^-01,  -5.51770482656000*10^-01} 
{-5.71874109800000*10^-02,   7.43434513700000*10^-03,  -9.98335780456000*10^-01} 
{ 2.65587410277000*10^-01,   9.09962821755000*10^-01,  -3.18482323725000*10^-01} 
{-7.65403826810000*10^-02,  -8.85599009960000*10^-01,  -4.58100385698000*10^-01} 
{ 9.20201386500000*10^-02,   6.88583915175000*10^-01,   7.19294436128000*10^-01} 
{ 4.89861125568000*10^-01,  -8.33760501766000*10^-01,  -2.54714552691000*10^-01} 
{-6.33719644365000*10^-01,   5.55303871236000*10^-01,   5.38550854550000*10^-01} 
{ 2.40268146680000*10^-02,  -9.85395934628000*10^-01,   1.68575099574000*10^-01} 
{ 1.78293391240000*10^-02,   5.21843493268000*10^-01,  -8.52854901610000*10^-01} 
{ 7.71958238063000*10^-01,  -2.39315863827000*10^-01,   5.88904403114000*10^-01} 
{ 7.08661280891000*10^-01,  -5.68067781697000*10^-01,   4.18447349573000*10^-01} 
{ 7.34509434338000*10^-01,  -6.07009641205000*10^-01,  -3.03373015203000*10^-01} 
{-2.77112504238000*10^-01,  -1.54194405997000*10^-01,   9.48384281372000*10^-01} 
{ 4.55952743000000*10^-02,   6.78324948970000*10^-01,  -7.33345985580000*10^-01} 
{-2.09291186788000*10^-01,   9.74462065187000*10^-01,   8.13688063410000*10^-02} 
{ 9.24693615072000*10^-01,   1.54782106090000*10^-02,   3.80397349150000*10^-01} 
{ 9.75608455032000*10^-01,   7.73360694120000*10^-02,   2.05444091756000*10^-01} 
{-6.49700263604000*10^-01,  -6.59721654987000*10^-01,   3.77699490884000*10^-01} 
{ 6.83633642418000*10^-01,  -7.29575185017000*10^-01,   1.91073902370000*10^-02} 
{ 7.65229294980000*10^-01,  -1.82116925836000*10^-01,  -6.17460566699000*10^-01} 
{-8.08053028824000*10^-01,  -3.82121714870000*10^-01,  -4.48367369055000*10^-01} 
{ 4.42587670920000*10^-01,   8.69090877634000*10^-01,  -2.20900882669000*10^-01} 
{-3.71341451562000*10^-01,  -9.28474430999000*10^-01,  -6.38414696600000*10^-03} 
{ 3.63661285569000*10^-01,   8.79117099291000*10^-01,   3.08064271074000*10^-01} 
{ 4.51299668287000*10^-01,   6.32084334513000*10^-01,   6.29919045170000*10^-01} 
{ 5.19667976556000*10^-01,  -3.53815313010000*10^-01,  -7.77663113708000*10^-01} 
{ 5.37749393316000*10^-01,   3.89164483931000*10^-01,  -7.47914831004000*10^-01} 
{ 7.36177239641000*10^-01,   6.71332451661000*10^-01,  -8.57660258010000*10^-02} 
{ 4.64594598544000*10^-01,   2.52103209661000*10^-01,   8.48879161414000*10^-01} 
{ 2.59755902564000*10^-01,   8.23286179068000*10^-01,  -5.04704605130000*10^-01} 
{-5.18808030260000*10^-01,  -8.04337654129000*10^-01,   2.89619001256000*10^-01} 
{-9.92372460452000*10^-01,   1.23201278068000*10^-01,   4.28308524500000*10^-03} 
{ 9.70368554099000*10^-01,  -2.37069800213000*10^-01,   4.67202209260000*10^-02} 
{ 8.06318908862000*10^-01,   5.84206647318000*10^-01,   9.24792432980000*10^-02} 
{ 7.24236624910000*10^-02,   1.77983502503000*10^-01,   9.81364705881000*10^-01} 
{-9.49275219790000*10^-01,   3.05329230557000*10^-01,   7.51705930500000*10^-02} 
{-3.34719196920000*10^-01,   6.44885025080000*10^-01,  -6.87085412188000*10^-01} 
{-7.89529260294000*10^-01,  -5.92915952551000*10^-01,  -1.58411553714000*10^-01} 
{ 2.19058368549000*10^-01,  -5.30474654883000*10^-01,  -8.18907852994000*10^-01} 
{-2.68261684503000*10^-01,   4.70155388530000*10^-02,  -9.62198112519000*10^-01} 
{ 4.59046710600000*10^-01,   2.02372421462000*10^-01,  -8.65055790408000*10^-01} 
{ 9.99174887828000*10^-01,  -2.68401174220000*10^-02,   3.04819886140000*10^-02} 
{ 4.22065634537000*10^-01,   4.36820627180000*10^-02,   9.05512273545000*10^-01} 
{ 6.03434728765000*10^-01,   6.64201939323000*10^-01,  -4.41250849200000*10^-01} 
{-4.98673413439000*10^-01,  -4.68407557249000*10^-01,   7.29327900907000*10^-01} 
{-8.39422920521000*10^-01,  -6.07930543270000*10^-02,   5.40067926329000*10^-01} 
{ 5.29241174110000*10^-02,   8.21044126376000*10^-01,   5.68406175494000*10^-01} 
{-8.11986210201000*10^-01,   1.70034983536000*10^-01,   5.58360545542000*10^-01} 
{-9.14953114489000*10^-01,  -1.50708541251000*10^-01,   3.74363104326000*10^-01} 
{-4.54576160374000*10^-01,  -1.09593191273000*10^-01,   8.83939956584000*10^-01} 
{-4.98757326092000*10^-01,   3.19138701460000*10^-01,  -8.05848384561000*10^-01} 
{ 7.49555964367000*10^-01,   6.00881031052000*10^-01,  -2.77682989762000*10^-01} 
{-3.09597634561000*10^-01,   2.62888470443000*10^-01,   9.13804660079000*10^-01} 
{-1.59365781959000*10^-01,  -9.46084009060000*10^-01,   2.82006374649000*10^-01} 
{-6.66960919878000*10^-01,   2.36496893966000*10^-01,   7.06563762515000*10^-01} 
{ 2.58561111836000*10^-01,   9.59202958327000*10^-01,  -1.14349622574000*10^-01} 
{-9.41006541222000*10^-01,  -2.16154549970000*10^-02,  -3.37697292679000*10^-01} 
{ 2.94878988133000*10^-01,   5.92426658155000*10^-01,   7.49717971683000*10^-01} 
{ 2.37234084100000*10^-02,  -7.98123635717000*10^-01,  -6.02026462876000*10^-01} 
{-3.67171704143000*10^-01,  -9.05743567577000*10^-01,  -2.11692062839000*10^-01} 
{-8.69820236241000*10^-01,   2.86125183950000*10^-01,   4.01926779072000*10^-01} 
{-6.49962750212000*10^-01,  -7.17606824562000*10^-01,  -2.50177674221000*10^-01} 
{-7.12442395573000*10^-01,  -3.37693308259000*10^-01,  -6.15133369723000*10^-01} 
{-9.48363851904000*10^-01,  -2.32350882787000*10^-01,  -2.15914500835000*10^-01} 
