{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 6.88537579850000*10^-02,   4.37786924524000*10^-01,   8.96438379771000*10^-01}  
{-3.16102984838000*10^-01,  -9.42088090880000*10^-01,   1.12022015689000*10^-01}  
{ 7.22980308430000*10^-02,   6.22640817268000*10^-01,  -7.79160707048000*10^-01}  
{-1.21703393687000*10^-01,  -9.75135118666000*10^-01,   1.85202009463000*10^-01}  
{-8.24256633201000*10^-01,   5.32937006173000*10^-01,   1.91256764782000*10^-01}  
{-4.48843624631000*10^-01,   7.51495341498000*10^-01,  -4.83522649247000*10^-01}  
{ 9.60430729697000*10^-01,  -1.72725273718000*10^-01,   2.18492089727000*10^-01}  
{-4.75094535603000*10^-01,   5.95325701834000*10^-01,  -6.47975687026000*10^-01}  
{-6.21798769273000*10^-01,   7.60478804021000*10^-01,   1.87185146755000*10^-01}  
{ 1.56115395048000*10^-01,   9.33387611593000*10^-01,  -3.23133950481000*10^-01}  
{-2.16232023311000*10^-01,   8.32048352443000*10^-01,  -5.10822132734000*10^-01}  
{ 8.76326977420000*10^-02,   2.16456219158000*10^-01,  -9.72351384775000*10^-01}  
{ 3.06449505735000*10^-01,  -2.25237065490000*10^-02,  -9.51620398625000*10^-01}  
{-4.04019035886000*10^-01,   9.14725649220000*10^-01,   6.75316965300000*10^-03}  
{ 3.41699821161000*10^-01,   9.39772074374000*10^-01,   8.34748139300000*10^-03}  
{ 3.30632729650000*10^-01,  -8.01203007164000*10^-01,   4.98754187346000*10^-01}  
{ 4.93651916993000*10^-01,  -8.69097850673000*10^-01,   3.12523727990000*10^-02}  
{ 6.87030623885000*10^-01,  -7.02465205657000*10^-01,  -1.85826684534000*10^-01}  
{ 4.55397383139000*10^-01,   7.93128154871000*10^-01,  -4.04426697167000*10^-01}  
{ 4.46315909963000*10^-01,   1.09013117445000*10^-01,  -8.88210700644000*10^-01}  
{-7.93173898780000*10^-01,   1.66191220671000*10^-01,   5.85880230479000*10^-01}  
{-4.99513807056000*10^-01,   7.83231087400000*10^-02,   8.62758046730000*10^-01}  
{-4.13060433117000*10^-01,  -7.49953387895000*10^-01,  -5.16673005468000*10^-01}  
