{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{-5.23968026253000*10^-01,   5.46207423615000*10^-01,   6.53540326111000*10^-01}  
{ 4.17447836845000*10^-01,   3.03995924819000*10^-01,   8.56343261319000*10^-01}  
{-9.85696415770000*10^-01,   1.03832082730000*10^-02,  -1.68210478042000*10^-01}  
{ 8.44532794890000*10^-02,   7.95794870243000*10^-01,  -5.99648370363000*10^-01}  
{-6.62388425068000*10^-01,   6.66466975074000*10^-01,  -3.42145211089000*10^-01}  
{ 8.12789583159000*10^-01,  -4.90988774134000*10^-01,  -3.13533279228000*10^-01}  
{ 6.47528966192000*10^-01,  -2.54022968049000*10^-01,  -7.18455683843000*10^-01}  
{-6.12436257220000*10^-01,   7.60240668704000*10^-01,   2.16693231299000*10^-01}  
{ 9.53215531809000*10^-01,   2.73036903645000*10^-01,  -1.29734340731000*10^-01}  
{-1.63258629611000*10^-01,  -3.78288843155000*10^-01,   9.11177354307000*10^-01}  
{ 8.25934536494000*10^-01,  -1.43167763852000*10^-01,   5.45284451291000*10^-01}  
{-2.20901535908000*10^-01,  -3.43272142501000*10^-01,  -9.12889230748000*10^-01}  
{-4.77992387417000*10^-01,   3.25946090649000*10^-01,   8.15648468130000*10^-01}  
{ 5.27603697032000*10^-01,  -7.09281494802000*10^-01,   4.67497700540000*10^-01}  
{ 5.05020845764000*10^-01,  -4.83990860055000*10^-01,  -7.14637525412000*10^-01}  
{ 7.98455873668000*10^-01,  -4.81880427960000*10^-01,   3.60914769654000*10^-01}  
{ 8.36285964859000*10^-01,   3.75154549804000*10^-01,  -3.99856035019000*10^-01}  
{ 7.18544738564000*10^-01,   9.90321565040000*10^-02,   6.88393848505000*10^-01}  
{ 7.57006038152000*10^-01,  -4.20302513191000*10^-01,   5.00287572908000*10^-01}  
{ 4.75700884134000*10^-01,   5.42823579737000*10^-01,   6.92135268655000*10^-01}  
{ 6.95315147134000*10^-01,   6.79003751920000*10^-01,   2.35564749155000*10^-01}  
{ 2.22384769436000*10^-01,   7.59522488456000*10^-01,  -6.11286024584000*10^-01}  
{-3.06131618031000*10^-01,   7.37327012267000*10^-01,   6.02189595910000*10^-01}  
{-6.13538226414000*10^-01,  -7.73719772642000*10^-01,  -1.57887802415000*10^-01}  
{ 6.49165891370000*10^-01,   2.65442157482000*10^-01,  -7.12828244750000*10^-01}  
{ 8.05354279719000*10^-01,  -5.87471847883000*10^-01,  -7.92547290980000*10^-02}  
{ 2.70203604818000*10^-01,  -6.32283462641000*10^-01,   7.26090651926000*10^-01}  
{-7.07926221885000*10^-01,   3.26305728704000*10^-01,   6.26390481874000*10^-01}  
{ 6.45268139364000*10^-01,   7.55952224420000*10^-01,   1.10296249786000*10^-01}  
{ 6.76562949299000*10^-01,  -4.67339888072000*10^-01,  -5.69083477754000*10^-01}  
{-2.75383983688000*10^-01,  -8.15631894116000*10^-01,  -5.08830300620000*10^-01}  
{-5.35256813496000*10^-01,   6.39152139868000*10^-01,   5.52254185777000*10^-01}  
{ 9.37403708377000*10^-01,  -3.47864331337000*10^-01,   1.62694346800000*10^-02}  
{ 3.56006342764000*10^-01,   7.02734409976000*10^-01,  -6.15973889826000*10^-01}  
{ 8.58632414474000*10^-01,   5.11037696289000*10^-01,  -3.98854583270000*10^-02}  
{-1.03189152751000*10^-01,  -7.51985823720000*10^-01,  -6.51052470757000*10^-01}  
{-9.76190599226000*10^-01,  -4.58700272610000*10^-02,   2.12009090800000*10^-01}  
{ 6.63485739723000*10^-01,   3.43842056704000*10^-01,   6.64499295129000*10^-01}  
{-5.54551886870000*10^-01,   7.02844290822000*10^-01,  -4.45513308027000*10^-01}  
{ 5.33988712347000*10^-01,  -5.42102994980000*10^-01,   6.48830022363000*10^-01}  
{ 4.36717089310000*10^-02,  -5.68171086335000*10^-01,   8.21750812894000*10^-01}  
{ 1.83871179110000*10^-02,  -6.07777287510000*10^-02,  -9.97981954538000*10^-01}  
{-8.13407457109000*10^-01,   5.58018166728000*10^-01,   1.64268178056000*10^-01}  
{ 5.40909627539000*10^-01,  -8.12633243671000*10^-01,   2.16896256575000*10^-01}  
{ 7.07663640006000*10^-01,  -5.41778294491000*10^-01,   4.53528887980000*10^-01}  
{ 5.04737753320000*10^-02,   9.68583128412000*10^-01,   2.43514109158000*10^-01}  
