{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{-7.20826372773000*10^-01,   4.68762847544000*10^-01,   5.10559235620000*10^-01}  
{ 7.95468623655000*10^-01,   6.05937713406000*10^-01,  -8.31602384200000*10^-03}  
{-1.39608804250000*10^-01,   4.54316813073000*10^-01,  -8.79832719973000*10^-01}  
{-2.28462902991000*10^-01,  -5.90480183931000*10^-01,   7.74039956553000*10^-01}  
{ 3.50434602181000*10^-01,  -4.03473073092000*10^-01,   8.45224862911000*10^-01}  
{ 1.61382335903000*10^-01,   9.34865451032000*10^-01,   3.16199826257000*10^-01}  
{ 9.78690261889000*10^-01,  -1.81775790223000*10^-01,  -9.55140480370000*10^-02}  
{ 5.05264934518000*10^-01,   5.70742747065000*10^-01,   6.47271243467000*10^-01}  
{-4.03351449968000*10^-01,  -7.27252118014000*10^-01,  -5.55348507384000*10^-01}  
{ 3.19389765044000*10^-01,   9.44953075419000*10^-01,  -7.10905285000000*10^-02}  
{ 3.19069413216000*10^-01,   8.01959339790000*10^-02,  -9.44332209407000*10^-01}  
{-2.24683863604000*10^-01,  -3.10004433590000*10^-01,   9.23804315096000*10^-01}  
{ 2.73182480573000*10^-01,  -2.12832758005000*10^-01,   9.38122353123000*10^-01}  
{ 3.34336241869000*10^-01,  -5.83195820946000*10^-01,  -7.40339051924000*10^-01}  
{-7.91772692664000*10^-01,  -4.53922007427000*10^-01,  -4.08718502549000*10^-01}  
{ 9.29624202401000*10^-01,   6.30370864030000*10^-02,   3.63077358215000*10^-01}  
